mode;alpha;beta;evaporation;group_size;elite_weight;best_value;best_iteration
AC;1.0;1.0;0.1;20;1.0;1004373;9
AC;1.0;1.0;0.1;20;1.0;1004320;6
AC;1.0;1.0;0.1;20;1.0;1004540;28
AC;1.0;1.0;0.1;20;1.0;1004471;43
AC;1.0;1.0;0.1;20;1.0;1004699;53
AC;1.0;1.0;0.1;20;1.0;1004311;56
AC;1.0;1.0;0.1;20;1.0;1004429;122
AC;1.0;1.0;0.1;20;1.0;1004071;200
AC;1.0;1.0;0.1;20;1.0;1004601;60
AC;1.0;1.0;0.1;20;1.0;1004702;65
AC;1.0;1.0;0.1;50;1.0;1004483;7
AC;1.0;1.0;0.1;50;1.0;1004685;23
AC;1.0;1.0;0.1;50;1.0;1004747;26
AC;1.0;1.0;0.1;50;1.0;1004592;29
AC;1.0;1.0;0.1;50;1.0;1004416;15
AC;1.0;1.0;0.1;50;1.0;1004861;21
AC;1.0;1.0;0.1;50;1.0;1004704;123
AC;1.0;1.0;0.1;50;1.0;1004295;19
AC;1.0;1.0;0.1;50;1.0;1005221;128
AC;1.0;1.0;0.1;50;1.0;1004812;108
AC;1.0;1.0;0.1;80;1.0;1004700;36
AC;1.0;1.0;0.1;80;1.0;1004517;49
AC;1.0;1.0;0.1;80;1.0;1004466;49
AC;1.0;1.0;0.1;80;1.0;1004605;37
AC;1.0;1.0;0.1;80;1.0;1004975;29
AC;1.0;1.0;0.3;20;1.0;1004147;8
AC;1.0;1.0;0.1;80;1.0;1004627;78
AC;1.0;1.0;0.3;20;1.0;1004700;109
AC;1.0;1.0;0.1;80;1.0;1004836;7
AC;1.0;1.0;0.1;80;1.0;1005319;90
AC;1.0;1.0;0.3;20;1.0;1004802;134
AC;1.0;1.0;0.1;80;1.0;1005064;90
AC;1.0;1.0;0.3;20;1.0;1004666;22
AC;1.0;1.0;0.1;80;1.0;1004655;77
AC;1.0;1.0;0.3;20;1.0;1004491;40
AC;1.0;1.0;0.3;20;1.0;1004600;11
AC;1.0;1.0;0.3;20;1.0;1004579;29
AC;1.0;1.0;0.3;20;1.0;1004736;83
AC;1.0;1.0;0.3;20;1.0;1004065;2
AC;1.0;1.0;0.3;20;1.0;1004546;112
AC;1.0;1.0;0.3;50;1.0;1004799;45
AC;1.0;1.0;0.3;50;1.0;1004349;12
AC;1.0;1.0;0.3;50;1.0;1004791;41
AC;1.0;1.0;0.3;50;1.0;1004868;34
AC;1.0;1.0;0.3;50;1.0;1004588;118
AC;1.0;1.0;0.3;50;1.0;1004970;149
AC;1.0;1.0;0.3;50;1.0;1004435;48
AC;1.0;1.0;0.3;50;1.0;1004326;71
AC;1.0;1.0;0.3;50;1.0;1005021;26
AC;1.0;1.0;0.3;50;1.0;1004282;32
AC;1.0;1.0;0.3;80;1.0;1004601;9
AC;1.0;1.0;0.3;80;1.0;1004586;8
AC;1.0;1.0;0.3;80;1.0;1004658;27
AC;1.0;1.0;0.3;80;1.0;1004714;56
AC;1.0;1.0;0.3;80;1.0;1004643;49
AC;1.0;1.0;0.3;80;1.0;1004478;19
AC;1.0;1.0;0.5;20;1.0;1004531;6
AC;1.0;1.0;0.5;20;1.0;1004773;49
AC;1.0;1.0;0.3;80;1.0;1004594;21
AC;1.0;1.0;0.3;80;1.0;1004608;51
AC;1.0;1.0;0.5;20;1.0;1004566;30
AC;1.0;1.0;0.5;20;1.0;1004816;22
AC;1.0;1.0;0.5;20;1.0;1004843;103
AC;1.0;1.0;0.3;80;1.0;1004668;145
AC;1.0;1.0;0.5;20;1.0;1005313;18
AC;1.0;1.0;0.3;80;1.0;1004518;50
AC;1.0;1.0;0.5;20;1.0;1004748;67
AC;1.0;1.0;0.5;20;1.0;1004636;136
AC;1.0;1.0;0.5;20;1.0;1004557;64
AC;1.0;1.0;0.5;20;1.0;1004518;87
AC;1.0;1.0;0.5;50;1.0;1004709;46
AC;1.0;1.0;0.5;50;1.0;1004527;43
AC;1.0;1.0;0.5;50;1.0;1004462;40
AC;1.0;1.0;0.5;50;1.0;1004639;61
AC;1.0;1.0;0.5;50;1.0;1004769;93
AC;1.0;1.0;0.5;50;1.0;1004442;20
AC;1.0;1.0;0.5;50;1.0;1005050;38
AC;1.0;1.0;0.5;50;1.0;1004782;9
AC;1.0;1.0;0.5;50;1.0;1004788;143
AC;1.0;1.0;0.5;50;1.0;1004317;110
AC;1.0;1.0;0.5;80;1.0;1004595;10
AC;1.0;1.0;0.5;80;1.0;1004663;13
AC;1.0;1.0;0.5;80;1.0;1004379;30
AC;1.0;2.0;0.1;20;1.0;1003992;38
AC;1.0;1.0;0.5;80;1.0;1004617;27
AC;1.0;1.0;0.5;80;1.0;1004451;33
AC;1.0;1.0;0.5;80;1.0;1004566;23
AC;1.0;1.0;0.5;80;1.0;1004722;98
AC;1.0;1.0;0.5;80;1.0;1005030;10
AC;1.0;1.0;0.5;80;1.0;1004763;70
AC;1.0;2.0;0.1;20;1.0;1003913;33
AC;1.0;2.0;0.1;20;1.0;1003772;77
AC;1.0;2.0;0.1;20;1.0;1003818;9
AC;1.0;2.0;0.1;20;1.0;1003661;54
AC;1.0;2.0;0.1;20;1.0;1003969;77
AC;1.0;2.0;0.1;20;1.0;1003843;76
AC;1.0;2.0;0.1;20;1.0;1003795;6
AC;1.0;2.0;0.1;20;1.0;1003978;58
AC;1.0;2.0;0.1;20;1.0;1003720;11
AC;1.0;1.0;0.5;80;1.0;1004746;86
AC;1.0;2.0;0.1;50;1.0;1004207;5
AC;1.0;2.0;0.1;50;1.0;1003903;18
AC;1.0;2.0;0.1;50;1.0;1003928;26
AC;1.0;2.0;0.1;50;1.0;1004165;40
AC;1.0;2.0;0.1;50;1.0;1003833;39
AC;1.0;2.0;0.1;50;1.0;1003994;69
AC;1.0;2.0;0.1;50;1.0;1004116;48
AC;1.0;2.0;0.1;50;1.0;1004169;52
AC;1.0;2.0;0.1;50;1.0;1003836;20
AC;1.0;2.0;0.1;80;1.0;1003897;26
AC;1.0;2.0;0.1;50;1.0;1004067;193
AC;1.0;2.0;0.1;80;1.0;1003904;29
AC;1.0;2.0;0.1;80;1.0;1003987;12
AC;1.0;2.0;0.1;80;1.0;1004049;14
AC;1.0;2.0;0.1;80;1.0;1004134;28
AC;1.0;2.0;0.1;80;1.0;1003946;10
AC;1.0;2.0;0.3;20;1.0;1004023;9
AC;1.0;2.0;0.3;20;1.0;1003825;20
AC;1.0;2.0;0.3;20;1.0;1003850;67
AC;1.0;2.0;0.3;20;1.0;1004053;111
AC;1.0;2.0;0.1;80;1.0;1004213;84
AC;1.0;2.0;0.1;80;1.0;1004042;27
AC;1.0;2.0;0.3;20;1.0;1003928;88
AC;1.0;2.0;0.3;20;1.0;1003812;16
AC;1.0;2.0;0.3;20;1.0;1003860;78
AC;1.0;2.0;0.1;80;1.0;1003984;42
AC;1.0;2.0;0.1;80;1.0;1003912;64
AC;1.0;2.0;0.3;20;1.0;1003896;41
AC;1.0;2.0;0.3;20;1.0;1004030;38
AC;1.0;2.0;0.3;20;1.0;1004031;127
AC;1.0;2.0;0.3;50;1.0;1003866;7
AC;1.0;2.0;0.3;50;1.0;1003901;12
AC;1.0;2.0;0.3;50;1.0;1003878;24
AC;1.0;2.0;0.3;50;1.0;1003974;23
AC;1.0;2.0;0.3;50;1.0;1003877;16
AC;1.0;2.0;0.3;50;1.0;1003932;39
AC;1.0;2.0;0.3;50;1.0;1003879;28
AC;1.0;2.0;0.3;50;1.0;1004080;122
AC;1.0;2.0;0.3;50;1.0;1003973;30
AC;1.0;2.0;0.3;50;1.0;1003928;39
AC;1.0;2.0;0.3;80;1.0;1003891;24
AC;1.0;2.0;0.3;80;1.0;1003929;55
AC;1.0;2.0;0.3;80;1.0;1003998;44
AC;1.0;2.0;0.3;80;1.0;1003930;38
AC;1.0;2.0;0.3;80;1.0;1004064;49
AC;1.0;2.0;0.5;20;1.0;1004035;55
AC;1.0;2.0;0.3;80;1.0;1004177;66
AC;1.0;2.0;0.3;80;1.0;1004233;61
AC;1.0;2.0;0.5;20;1.0;1004057;41
AC;1.0;2.0;0.3;80;1.0;1003991;70
AC;1.0;2.0;0.5;20;1.0;1003857;9
AC;1.0;2.0;0.5;20;1.0;1004137;69
AC;1.0;2.0;0.5;20;1.0;1003857;59
AC;1.0;2.0;0.3;80;1.0;1003972;45
AC;1.0;2.0;0.5;20;1.0;1003950;20
AC;1.0;2.0;0.5;20;1.0;1003682;5
AC;1.0;2.0;0.3;80;1.0;1004056;96
AC;1.0;2.0;0.5;20;1.0;1004055;66
AC;1.0;2.0;0.5;20;1.0;1003877;22
AC;1.0;2.0;0.5;20;1.0;1003926;112
AC;1.0;2.0;0.5;50;1.0;1003882;51
AC;1.0;2.0;0.5;50;1.0;1004145;33
AC;1.0;2.0;0.5;50;1.0;1004098;24
AC;1.0;2.0;0.5;50;1.0;1003820;15
AC;1.0;2.0;0.5;50;1.0;1003924;42
AC;1.0;2.0;0.5;50;1.0;1003981;127
AC;1.0;2.0;0.5;50;1.0;1003900;66
AC;1.0;2.0;0.5;50;1.0;1004106;10
AC;1.0;2.0;0.5;50;1.0;1004373;141
AC;1.0;2.0;0.5;50;1.0;1003899;84
AC;1.0;2.0;0.5;80;1.0;1004084;59
AC;1.0;2.0;0.5;80;1.0;1004142;76
AC;1.0;2.0;0.5;80;1.0;1004059;10
AC;1.0;2.0;0.5;80;1.0;1004232;85
AC;1.0;2.0;0.5;80;1.0;1004153;45
AC;1.0;2.0;0.5;80;1.0;1004304;58
AC;1.0;2.0;0.5;80;1.0;1003969;4
AC;1.0;2.0;0.5;80;1.0;1003924;6
AC;1.0;4.0;0.1;20;1.0;1003667;3
AC;1.0;4.0;0.1;20;1.0;1003660;13
AC;1.0;4.0;0.1;20;1.0;1003660;22
AC;1.0;4.0;0.1;20;1.0;1003633;4
AC;1.0;4.0;0.1;20;1.0;1003660;34
