Nr;A;B;C;D;AB;AC;AD;BC;BD;CD;y
1;-;-;+;+;+;-;-;-;-;+;1004690.0
2;-;-;-;+;+;+;-;+;-;-;1004618.5
3;+;+;+;+;+;+;+;+;+;+;1004549.0
4;-;-;+;-;+;-;+;-;+;-;1004451.5
5;+;-;-;+;-;-;+;+;-;-;1004240.0
6;+;+;-;+;+;-;+;-;+;-;1004385.5
7;+;-;+;-;-;+;-;-;+;-;1004187.5
8;+;+;-;-;+;-;-;-;-;+;1004256.5
9;-;-;-;-;+;+;+;+;+;+;1004370.0
10;+;-;-;-;-;-;-;+;+;+;1004197.5
11;+;+;+;-;+;+;-;+;-;-;1004177.5
12;+;-;+;+;-;+;+;-;-;+;1004045.5
13;-;+;+;+;-;-;-;+;+;+;1004088.0
14;-;+;-;+;-;+;-;-;+;-;1004044.0
15;-;+;+;-;-;-;+;+;-;-;1003880.5
16;-;+;-;-;-;+;+;-;-;+;1003871.5
MW-;1004251.75;1004350.0625;1004247.9375;1004174.0625;1004069.3125;1004273.6875;1004282.4375;1004241.5;1004222.5;1004248.125;
MW+;1004254.875;1004156.5625;1004258.6875;1004332.5625;1004437.3125;1004232.9375;1004224.1875;1004265.125;1004284.125;1004258.5;
Effekt;3.125;-193.5;10.75;158.5;368.0;-40.75;-58.25;23.625;61.625;10.375;
