mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
AC;1.800;1.000;0.600;95;1.000;1005414.500;1003917;1006451;787.307;54.500;10;1.000;0.411;0.823;99.385
AC;1.800;1.000;0.400;95;1.000;1005350.500;1004621;1005987;469.316;56.500;10;0.949;0.387;0.780;99.378
AC;1.800;1.000;0.600;45;1.000;1005131.000;1003865;1005872;706.959;53.000;10;0.772;0.429;0.669;99.357
AC;1.400;0.600;0.400;70;1.000;1005069.000;1004353;1005444;438.820;47.500;10;0.722;0.497;0.655;99.351
AC;1.800;1.400;0.200;70;1.000;1004834.000;1004221;1005071;247.122;22.500;10;0.534;0.804;0.615;99.327
AC;1.400;1.000;0.400;70;1.000;1005046.000;1004750;1005593;240.476;58.000;10;0.704;0.368;0.603;99.348
AC;1.400;1.000;0.400;45;1.000;1005032.500;1004522;1005367;244.592;56.000;10;0.693;0.393;0.603;99.347
AC;1.800;1.000;0.400;70;1.000;1004900.500;1003910;1006144;621.472;39.000;10;0.587;0.601;0.591;99.334
AC;1.000;0.600;0.400;95;1.000;1004897.500;1004668;1005415;243.989;39.000;10;0.585;0.601;0.590;99.334
AC;1.400;0.600;0.600;95;1.000;1004817.000;1004301;1005813;530.582;27.500;10;0.520;0.742;0.587;99.326
AC;1.400;0.600;0.600;70;1.000;1005183.500;1004188;1006252;611.453;84.500;10;0.814;0.043;0.583;99.362
AC;1.800;1.400;0.200;45;1.000;1004855.500;1004415;1005114;268.960;34.500;10;0.551;0.656;0.583;99.330
AC;1.800;1.000;0.200;70;1.000;1005041.000;1004023;1005628;550.934;68.000;10;0.700;0.245;0.564;99.348
AC;1.400;1.000;0.600;70;1.000;1004840.500;1004563;1005387;241.547;39.500;10;0.539;0.595;0.556;99.328
AC;1.400;1.400;0.600;95;1.000;1004874.000;1004383;1005191;274.912;45.000;10;0.566;0.528;0.554;99.331
AC;1.400;1.000;0.200;95;1.000;1004903.000;1004768;1005261;169.609;50.000;10;0.589;0.466;0.552;99.334
AC;1.400;1.000;0.400;95;1.000;1004966.000;1004692;1006133;418.831;61.000;10;0.640;0.331;0.547;99.340
AC;1.400;1.000;0.600;95;1.000;1004705.500;1004599;1005566;326.769;22.500;10;0.431;0.804;0.542;99.315
AC;1.000;0.600;0.200;70;1.000;1004851.000;1004428;1004998;167.725;46.500;10;0.547;0.509;0.536;99.329
AC;1.400;0.600;0.200;45;1.000;1004670.000;1003916;1005340;481.165;19.000;10;0.402;0.847;0.535;99.311
AC;1.000;1.000;0.600;95;1.000;1004818.000;1004411;1005125;207.117;44.500;10;0.521;0.534;0.525;99.326
AC;1.400;1.000;0.600;45;1.000;1004680.500;1004160;1005416;343.274;25.000;10;0.410;0.773;0.519;99.312
AC;1.000;1.000;0.400;70;1.000;1004761.000;1004522;1005398;262.183;38.500;10;0.475;0.607;0.515;99.320
AC;1.400;0.600;0.400;95;1.000;1004923.000;1004280;1006252;713.753;65.500;10;0.605;0.276;0.506;99.336
AC;1.800;1.400;0.400;95;1.000;1004687.500;1004273;1005136;262.948;30.500;10;0.416;0.706;0.503;99.313
AC;1.800;1.400;0.400;45;1.000;1004664.500;1004245;1005154;307.041;27.000;10;0.398;0.748;0.503;99.311
AC;1.000;1.000;0.200;45;1.000;1004671.500;1004281;1005644;372.554;28.500;10;0.403;0.730;0.501;99.311
AC;1.000;0.600;0.200;95;1.000;1004932.000;1004628;1005505;305.557;71.500;10;0.612;0.202;0.489;99.337
AC;1.000;0.600;0.400;45;1.000;1004807.000;1004511;1005124;170.421;52.500;10;0.512;0.436;0.489;99.325
AC;1.000;1.000;0.200;95;1.000;1004669.500;1004502;1005164;230.947;32.000;10;0.402;0.687;0.487;99.311
