mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
EAS;1.500;2.000;0.300;50;1.000;1004271.500;1003851;1004556;221.447;31.000;10;0.991;0.587;0.870;99.272
EAS;1.500;2.000;0.500;50;0.200;1004183.000;1004051;1004433;120.962;19.500;10;0.899;0.777;0.862;99.263
EAS;1.500;2.000;0.300;50;0.500;1004195.000;1003859;1004320;162.592;21.500;10;0.911;0.744;0.861;99.264
AC;1.500;2.000;0.500;50;1.000;1004198.000;1004027;1004273;81.836;27.000;10;0.914;0.653;0.836;99.265
EAS;1.500;2.000;0.300;30;1.000;1004110.000;1003890;1004266;127.388;15.500;10;0.823;0.843;0.829;99.256
EAS;1.500;2.000;0.100;30;0.500;1004104.000;1003559;1004707;320.484;19.500;10;0.816;0.777;0.805;99.255
EAS;1.500;2.000;0.300;30;0.500;1004086.000;1003785;1004293;183.000;19.000;10;0.798;0.785;0.794;99.253
EAS;1.500;2.000;0.500;50;1.000;1004119.000;1003696;1004381;198.349;24.000;10;0.832;0.702;0.793;99.257
EAS;1.500;2.000;0.100;50;0.500;1004154.000;1003844;1004425;196.736;30.500;10;0.869;0.595;0.787;99.260
AC;1.500;2.000;0.300;30;1.000;1004280.000;1004119;1004455;109.222;50.500;10;1.000;0.264;0.779;99.273
EAS;1.500;2.000;0.500;30;0.500;1004101.000;1003760;1004394;207.813;29.000;10;0.813;0.620;0.755;99.255
AC;1.500;2.000;0.300;50;1.000;1004220.500;1003989;1004500;188.262;47.500;10;0.938;0.314;0.751;99.267
AC;1.500;2.000;0.100;50;1.000;1004107.000;1003969;1004291;117.482;31.500;10;0.820;0.579;0.747;99.256
EAS;1.500;2.000;0.100;30;1.000;1003972.000;1003582;1004098;164.261;13.000;10;0.679;0.884;0.740;99.242
EAS;1.500;2.000;0.500;30;1.000;1004066.500;1003857;1004392;156.805;28.500;10;0.777;0.628;0.733;99.252
EAS;1.500;2.000;0.500;30;0.200;1003965.500;1003807;1004240;135.387;14.000;10;0.672;0.868;0.731;99.242
EAS;1.500;2.000;0.300;30;0.200;1003981.500;1003706;1004154;135.175;22.500;10;0.689;0.727;0.700;99.243
EAS;1.500;2.000;0.500;50;0.500;1004097.000;1003935;1004329;131.470;40.000;10;0.809;0.438;0.698;99.255
EAS;1.500;2.000;0.300;50;0.200;1004021.000;1003786;1004154;111.502;29.000;10;0.730;0.620;0.697;99.247
EAS;1.500;2.000;0.100;50;1.000;1004048.500;1003866;1004316;156.950;35.000;10;0.759;0.521;0.687;99.250
EAS;1.500;2.000;0.100;50;0.200;1003945.500;1003754;1004169;117.013;20.500;10;0.651;0.760;0.684;99.240
AC;1.000;2.000;0.100;50;1.000;1004014.500;1003878;1004322;128.397;31.500;10;0.723;0.579;0.680;99.246
EAS;1.000;2.000;0.500;50;1.000;1003990.000;1003848;1004353;159.578;28.500;10;0.698;0.628;0.677;99.244
AC;1.500;2.000;0.100;30;1.000;1004135.000;1003936;1004324;132.824;50.000;10;0.849;0.273;0.676;99.258
AC;1.500;2.000;0.300;10;1.000;1004164.000;1003889;1004492;209.443;55.500;10;0.879;0.182;0.670;99.261
AC;1.000;2.000;0.500;50;1.000;1003999.500;1003866;1004403;155.915;32.000;10;0.708;0.570;0.666;99.245
EAS;1.000;2.000;0.500;50;0.200;1003904.000;1003724;1004090;102.787;18.500;10;0.608;0.793;0.664;99.235
AC;1.500;2.000;0.500;30;1.000;1004228.000;1004000;1004368;115.504;66.500;10;0.946;0.000;0.662;99.268
EAS;1.000;2.000;0.100;50;0.200;1003900.500;1003782;1004328;189.672;19.500;10;0.604;0.777;0.656;99.235
EAS;1.500;2.000;0.500;10;0.200;1003947.000;1003579;1004189;205.868;27.000;10;0.653;0.653;0.653;99.240
EAS;1.000;2.000;0.500;30;0.200;1003849.500;1003737;1004030;92.799;13.000;10;0.551;0.884;0.651;99.230
EAS;1.000;2.000;0.100;50;0.500;1003853.500;1003716;1004196;131.850;14.500;10;0.555;0.860;0.647;99.231
EAS;1.000;2.000;0.300;50;0.200;1003922.500;1003818;1004226;145.953;25.000;10;0.627;0.686;0.645;99.237
EAS;1.000;2.000;0.100;30;0.200;1003876.000;1003678;1003914;78.507;18.500;10;0.579;0.793;0.643;99.233
AC;1.500;2.000;0.100;10;1.000;1003934.500;1003773;1004390;209.687;27.500;10;0.640;0.645;0.641;99.239
AC;0.500;2.000;0.300;50;1.000;1003825.000;1003689;1003962;87.778;11.500;10;0.526;0.909;0.641;99.228
EAS;1.500;2.000;0.300;10;0.500;1003927.500;1003574;1004407;279.367;27.000;10;0.632;0.653;0.639;99.238
EAS;1.000;2.000;0.100;50;1.000;1003897.000;1003825;1004014;67.049;23.000;10;0.601;0.719;0.636;99.235
EAS;1.000;2.000;0.500;30;1.000;1003885.500;1003856;1004109;78.675;21.500;10;0.589;0.744;0.635;99.234
AC;1.000;3.500;0.300;50;1.000;1003837.500;1003603;1003878;114.685;14.500;10;0.539;0.860;0.635;99.229
EAS;1.000;2.000;0.500;30;0.500;1003953.000;1003681;1004123;157.036;32.000;10;0.659;0.570;0.632;99.240
AC;1.000;2.000;0.500;30;1.000;1003983.500;1003667;1004363;214.762;37.000;10;0.691;0.488;0.630;99.243
EAS;1.500;3.500;0.100;50;1.000;1003839.000;1003556;1003878;120.185;16.000;10;0.540;0.835;0.629;99.229
EAS;1.000;2.000;0.100;30;0.500;1003889.500;1003814;1004005;60.260;23.500;10;0.593;0.711;0.628;99.234
EAS;1.500;3.500;0.500;50;0.200;1003871.500;1003570;1003909;118.260;21.000;10;0.574;0.752;0.627;99.232
EAS;0.500;2.000;0.300;50;0.500;1003839.500;1003673;1003916;87.999;16.500;10;0.541;0.826;0.626;99.229
