mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score
AC;1.000;10.000;0.800;100;1.000;1024780.000;1024429;1024851;142.398;58.000;7;0.997;0.731;0.917
EAS;1.000;10.000;0.800;100;1.000;1024804.000;1024367;1024963;227.411;62.000;7;0.999;0.710;0.912
EAS;1.000;10.000;0.800;100;0.200;1024596.000;1024378;1024979;254.713;55.000;7;0.981;0.747;0.911
EAS;1.000;10.000;0.800;50;1.000;1024151.000;1023357;1024631;532.017;48.000;7;0.943;0.785;0.896
EAS;1.000;10.000;0.500;100;0.200;1024611.000;1024193;1024782;246.457;65.000;7;0.982;0.694;0.896
EAS;1.000;10.000;0.500;100;0.500;1024674.000;1024419;1024799;120.448;68.000;7;0.988;0.677;0.895
EAS;1.000;10.000;0.800;100;0.500;1024820.000;1024266;1024947;243.087;74.000;7;1.000;0.645;0.894
AC;1.000;10.000;0.500;100;1.000;1024672.000;1024518;1024823;98.191;72.000;7;0.987;0.656;0.888
EAS;1.000;10.000;0.500;100;1.000;1024729.000;1024409;1024984;194.052;81.000;7;0.992;0.608;0.877
EAS;1.000;10.000;0.800;50;0.200;1024056.000;1022479;1024643;737.199;58.000;7;0.935;0.731;0.874
EAS;1.000;10.000;0.800;50;0.500;1024133.000;1023730;1024843;420.748;63.000;7;0.942;0.704;0.870
EAS;1.000;10.000;0.500;50;0.200;1024668.000;1024316;1024866;223.556;84.000;7;0.987;0.591;0.868
AC;1.000;10.000;0.800;50;1.000;1024179.000;1023441;1024763;541.190;66.000;7;0.945;0.688;0.868
EAS;1.000;10.000;0.500;50;1.000;1024668.000;1024256;1024963;228.876;89.000;7;0.987;0.565;0.860
EAS;1.000;10.000;0.300;100;1.000;1024613.000;1024496;1024675;62.819;88.000;7;0.982;0.570;0.859
EAS;1.000;10.000;0.300;100;0.200;1024734.000;1024289;1024867;185.488;97.000;7;0.993;0.522;0.851
AC;1.000;10.000;0.500;50;1.000;1024820.000;1024418;1024889;165.361;103.000;7;1.000;0.489;0.847
EAS;1.000;10.000;0.500;50;0.500;1024622.000;1024422;1024845;130.884;98.000;7;0.983;0.516;0.843
AC;1.000;10.000;0.300;100;1.000;1024727.000;1024424;1024892;140.421;105.000;7;0.992;0.478;0.838
EAS;1.000;10.000;0.300;50;0.500;1024215.000;1023540;1024864;420.242;91.000;7;0.949;0.554;0.830
EAS;1.000;10.000;0.300;50;0.200;1024463.000;1024283;1024756;151.773;104.000;7;0.970;0.484;0.824
EAS;1.000;10.000;0.300;100;0.500;1024471.000;1024237;1024779;211.607;106.000;7;0.970;0.473;0.821
EAS;1.000;10.000;0.500;20;0.500;1023045.000;1020972;1023593;988.353;56.000;7;0.849;0.742;0.817
EAS;1.000;10.000;0.300;50;1.000;1024465.000;1024095;1025104;348.945;120.000;7;0.970;0.398;0.798
EAS;1.000;10.000;0.800;20;0.200;1022351.000;1021617;1023400;605.543;45.000;7;0.790;0.801;0.793
AC;1.000;10.000;0.500;20;1.000;1023324.000;1020350;1024284;1394.764;81.000;7;0.873;0.608;0.793
AC;1.000;10.000;0.300;50;1.000;1024439.000;1024159;1024754;183.297;129.000;7;0.968;0.349;0.782
EAS;1.000;5.000;0.500;100;0.500;1024238.000;1021757;1024608;1263.358;125.000;7;0.950;0.371;0.777
EAS;1.000;5.000;0.800;100;0.200;1023512.000;1021550;1024025;1086.829;99.000;7;0.889;0.511;0.775
EAS;1.000;10.000;0.500;20;0.200;1021796.000;1020298;1024143;1479.923;41.000;7;0.743;0.823;0.767
EAS;0.750;10.000;0.800;50;0.200;1021334.000;1020172;1021845;594.143;26.000;7;0.703;0.903;0.763
EAS;1.000;10.000;0.800;20;0.500;1021327.000;1019547;1023273;1132.335;29.000;7;0.703;0.887;0.758
EAS;0.750;10.000;0.500;20;0.200;1021434.000;1020225;1021830;649.197;34.000;7;0.712;0.860;0.756
EAS;0.750;10.000;0.800;50;1.000;1021824.000;1020961;1022314;458.168;49.000;7;0.745;0.780;0.755
EAS;1.000;5.000;0.800;100;0.500;1021847.000;1021747;1024812;1364.986;50.000;7;0.747;0.774;0.755
EAS;1.000;5.000;0.800;100;1.000;1021864.000;1021668;1023841;989.689;52.000;7;0.748;0.763;0.753
EAS;0.750;10.000;0.800;20;0.500;1021823.000;1020469;1022092;564.991;51.000;7;0.745;0.769;0.752
EAS;1.000;10.000;0.300;20;1.000;1022758.000;1021381;1025028;1437.420;86.000;7;0.825;0.581;0.751
EAS;1.000;5.000;0.300;100;0.200;1023157.000;1019976;1024195;1643.667;102.000;7;0.859;0.495;0.749
EAS;1.000;10.000;0.300;20;0.200;1023004.000;1020804;1024918;1576.077;99.000;7;0.845;0.511;0.745
EAS;0.500;10.000;0.500;100;0.200;1020620.000;1019866;1020949;421.967;15.000;7;0.643;0.962;0.739
EAS;0.500;10.000;0.800;50;0.500;1020910.000;1019765;1021307;494.915;26.000;7;0.667;0.903;0.738
EAS;0.750;10.000;0.800;20;1.000;1021311.000;1020116;1022308;853.419;41.000;7;0.701;0.823;0.738
EAS;0.750;10.000;0.800;50;0.500;1021344.000;1020878;1021721;272.444;43.000;7;0.704;0.812;0.737
EAS;1.000;5.000;0.500;100;1.000;1024079.000;1021568;1024694;1314.809;144.000;7;0.937;0.269;0.737
EAS;1.000;10.000;0.800;20;1.000;1021240.000;1020848;1022929;701.420;40.000;7;0.695;0.828;0.735
EAS;0.750;10.000;0.800;20;0.200;1021435.000;1020948;1022125;461.543;48.000;7;0.712;0.785;0.734
EAS;1.000;10.000;0.500;20;1.000;1021606.000;1021269;1023947;995.911;55.000;7;0.727;0.747;0.733
EAS;0.750;10.000;0.500;20;1.000;1020861.000;1019997;1021725;672.069;28.000;7;0.663;0.892;0.732
AC;1.000;10.000;0.800;20;1.000;1021266.000;1020727;1023160;868.384;44.000;7;0.698;0.806;0.730
EAS;0.250;10.000;0.500;100;0.500;1020524.000;1019801;1020877;443.948;17.000;7;0.634;0.952;0.730
AC;1.000;5.000;0.800;100;1.000;1024040.000;1023488;1024430;308.426;147.000;7;0.934;0.253;0.729
EAS;0.500;10.000;0.800;50;1.000;1020573.000;1020190;1020849;256.818;20.000;7;0.639;0.935;0.728
EAS;0.250;10.000;0.300;100;1.000;1020436.000;1019739;1020963;451.334;15.000;7;0.627;0.962;0.728
EAS;1.000;5.000;0.800;50;0.200;1021676.000;1021141;1023284;780.806;61.000;7;0.732;0.715;0.727
EAS;0.500;10.000;0.300;100;0.200;1020349.000;1019831;1020957;406.866;12.000;7;0.620;0.978;0.727
EAS;0.750;10.000;0.800;100;1.000;1021188.000;1020477;1021866;503.939;43.000;7;0.691;0.812;0.727
EAS;0.750;10.000;0.500;100;0.500;1020706.000;1020291;1021438;430.887;26.000;7;0.650;0.903;0.726
EAS;0.500;10.000;0.500;100;1.000;1020394.000;1019978;1020994;307.713;15.000;7;0.623;0.962;0.725
EAS;0.500;10.000;0.500;50;1.000;1020350.000;1019584;1020490;417.246;14.000;7;0.620;0.968;0.724
EAS;0.750;10.000;0.300;100;0.500;1020368.000;1020132;1020767;203.962;15.000;7;0.621;0.962;0.724
EAS;0.750;10.000;0.500;20;0.500;1020479.000;1019320;1021361;833.944;20.000;7;0.631;0.935;0.722
EAS;0.750;10.000;0.800;100;0.200;1020901.000;1020199;1021718;539.602;36.000;7;0.667;0.849;0.721
EAS;0.250;10.000;0.300;100;0.500;1020402.000;1019564;1020575;373.805;18.000;7;0.624;0.946;0.721
AC;1.000;5.000;0.800;50;1.000;1021475.000;1021170;1023086;651.997;58.000;7;0.715;0.731;0.720
AC;0.750;10.000;0.800;20;1.000;1021827.000;1021073;1022895;616.797;71.000;7;0.745;0.661;0.720
