mode;alpha;beta;evaporation;group_size;elite_weight;best_value;best_iteration
AC;0.25;2.0;0.3;20;1.0;1013117;6
AC;0.25;2.0;0.3;20;1.0;1013390;18
AC;0.25;2.0;0.3;20;1.0;1012709;39
AC;0.25;2.0;0.3;20;1.0;1012878;37
AC;0.25;2.0;0.3;20;1.0;1013478;53
AC;0.25;2.0;0.3;20;1.0;1014048;71
AC;0.25;2.0;0.3;20;1.0;1013271;94
AC;0.25;2.0;0.3;50;1.0;1013301;9
AC;0.25;2.0;0.3;50;1.0;1013211;4
AC;0.25;2.0;0.3;50;1.0;1013332;17
AC;0.25;2.0;0.3;50;1.0;1013225;16
AC;0.25;2.0;0.3;50;1.0;1013344;22
AC;0.25;2.0;0.3;50;1.0;1013779;54
AC;0.25;2.0;0.3;50;1.0;1013350;58
AC;0.25;2.0;0.3;100;1.0;1013539;14
AC;0.25;2.0;0.3;100;1.0;1013715;10
AC;0.25;2.0;0.3;100;1.0;1014315;5
AC;0.25;2.0;0.5;20;1.0;1014119;143
AC;0.25;2.0;0.3;100;1.0;1014835;24
AC;0.25;2.0;0.5;20;1.0;1013327;22
AC;0.25;2.0;0.5;20;1.0;1014702;51
AC;0.25;2.0;0.5;20;1.0;1014901;107
AC;0.25;2.0;0.5;20;1.0;1013532;66
AC;0.25;2.0;0.3;100;1.0;1014114;111
AC;0.25;2.0;0.3;100;1.0;1014045;43
AC;0.25;2.0;0.3;100;1.0;1014163;121
AC;0.25;2.0;0.5;20;1.0;1013193;76
AC;0.25;2.0;0.5;20;1.0;1014128;92
AC;0.25;2.0;0.5;50;1.0;1013738;10
AC;0.25;2.0;0.5;50;1.0;1013525;29
AC;0.25;2.0;0.5;50;1.0;1014557;39
AC;0.25;2.0;0.5;50;1.0;1013498;36
AC;0.25;2.0;0.5;50;1.0;1014025;63
AC;0.25;2.0;0.5;50;1.0;1013808;19
AC;0.25;2.0;0.5;50;1.0;1013523;34
AC;0.25;2.0;0.5;100;1.0;1013975;38
AC;0.25;2.0;0.8;20;1.0;1013467;5
AC;0.25;2.0;0.5;100;1.0;1014178;14
AC;0.25;2.0;0.5;100;1.0;1014271;89
AC;0.25;2.0;0.5;100;1.0;1014018;54
AC;0.25;2.0;0.5;100;1.0;1013544;67
AC;0.25;2.0;0.8;20;1.0;1013988;18
AC;0.25;2.0;0.8;20;1.0;1013550;53
AC;0.25;2.0;0.5;100;1.0;1014427;66
AC;0.25;2.0;0.8;20;1.0;1014606;100
AC;0.25;2.0;0.5;100;1.0;1013544;57
AC;0.25;2.0;0.8;20;1.0;1013830;11
AC;0.25;2.0;0.8;20;1.0;1013758;32
AC;0.25;2.0;0.8;20;1.0;1013568;57
AC;0.25;2.0;0.8;50;1.0;1014047;8
AC;0.25;2.0;0.8;50;1.0;1013309;11
AC;0.25;2.0;0.8;50;1.0;1013636;18
AC;0.25;2.0;0.8;50;1.0;1013770;22
AC;0.25;2.0;0.8;50;1.0;1014248;145
AC;0.25;2.0;0.8;50;1.0;1013785;97
AC;0.25;2.0;0.8;50;1.0;1014187;130
AC;0.25;2.0;0.8;100;1.0;1014392;14
AC;0.25;5.0;0.3;20;1.0;1017835;9
AC;0.25;5.0;0.3;20;1.0;1017060;30
AC;0.25;5.0;0.3;20;1.0;1017166;45
AC;0.25;2.0;0.8;100;1.0;1013993;69
AC;0.25;2.0;0.8;100;1.0;1014300;99
AC;0.25;5.0;0.3;20;1.0;1017491;47
AC;0.25;2.0;0.8;100;1.0;1013899;82
AC;0.25;2.0;0.8;100;1.0;1013955;26
AC;0.25;5.0;0.3;20;1.0;1017333;155
AC;0.25;5.0;0.3;20;1.0;1016804;12
AC;0.25;2.0;0.8;100;1.0;1014237;120
AC;0.25;2.0;0.8;100;1.0;1013518;70
AC;0.25;5.0;0.3;20;1.0;1017643;110
AC;0.25;5.0;0.3;50;1.0;1017331;9
AC;0.25;5.0;0.3;50;1.0;1017839;50
AC;0.25;5.0;0.3;50;1.0;1017894;69
AC;0.25;5.0;0.3;50;1.0;1017313;63
AC;0.25;5.0;0.3;50;1.0;1017325;61
AC;0.25;5.0;0.3;50;1.0;1017227;68
AC;0.25;5.0;0.3;50;1.0;1017725;156
AC;0.25;5.0;0.3;100;1.0;1017538;6
AC;0.25;5.0;0.3;100;1.0;1018018;34
AC;0.25;5.0;0.3;100;1.0;1018119;73
AC;0.25;5.0;0.3;100;1.0;1018542;69
