mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
EAS;1.000;10.000;0.800;100;0.500;1009597.000;1009205;1009910;248.097;89.000;7;0.967;0.553;0.843;99.798
EAS;1.000;10.000;0.800;100;1.000;1009547.000;1008828;1009710;304.212;92.000;7;0.957;0.537;0.831;99.793
EAS;1.000;10.000;0.800;100;0.200;1009380.000;1008999;1009843;269.743;86.000;7;0.925;0.569;0.818;99.777
EAS;1.000;10.000;0.500;100;0.500;1009677.000;1009389;1009765;129.217;128.000;7;0.983;0.346;0.792;99.806
AC;1.000;10.000;0.800;100;1.000;1009536.000;1009152;1009775;213.850;119.000;7;0.955;0.394;0.787;99.792
EAS;1.000;10.000;0.500;100;0.200;1009692.000;1009472;1009895;134.161;141.000;7;0.986;0.277;0.773;99.808
EAS;1.000;10.000;0.800;50;0.200;1008519.000;1007678;1009369;667.344;49.000;7;0.755;0.766;0.759;99.692
EAS;1.000;10.000;0.500;100;1.000;1009479.000;1009358;1009783;160.845;132.000;7;0.944;0.324;0.758;99.787
EAS;1.000;10.000;0.300;100;0.200;1009675.000;1006884;1009795;1150.643;155.000;7;0.983;0.202;0.748;99.806
EAS;1.000;10.000;0.300;100;0.500;1009575.000;1009283;1009766;147.946;148.000;7;0.963;0.239;0.746;99.796
EAS;1.000;10.000;0.500;50;1.000;1009045.000;1007803;1009676;725.217;103.000;7;0.859;0.479;0.745;99.744
EAS;1.000;10.000;0.300;100;1.000;1009575.000;1007971;1009706;624.647;149.000;7;0.963;0.234;0.744;99.796
AC;1.000;10.000;0.500;50;1.000;1009357.000;1008105;1009518;502.769;139.000;7;0.920;0.287;0.730;99.775
EAS;1.000;10.000;0.300;50;0.500;1009340.000;1007542;1009626;954.788;138.000;7;0.917;0.293;0.729;99.773
EAS;1.000;10.000;0.500;50;0.200;1009002.000;1007804;1009822;622.741;109.000;7;0.850;0.447;0.729;99.739
AC;1.000;10.000;0.500;100;1.000;1009764.000;1009474;1009861;153.670;186.000;7;1.000;0.037;0.711;99.815
AC;1.000;10.000;0.300;100;1.000;1009692.000;1009527;1009795;94.993;180.000;7;0.986;0.069;0.711;99.808
EAS;1.000;10.000;0.300;50;0.200;1008999.000;1007718;1009635;696.721;124.000;7;0.850;0.367;0.705;99.739
EAS;1.000;10.000;0.500;50;0.500;1008192.000;1007745;1009510;660.168;60.000;7;0.691;0.707;0.696;99.659
EAS;1.000;10.000;0.800;50;0.500;1008177.000;1007702;1008895;460.073;71.000;7;0.688;0.649;0.676;99.658
AC;1.000;10.000;0.300;50;1.000;1009351.000;1007795;1009524;615.989;175.000;7;0.919;0.096;0.672;99.774
EAS;1.000;10.000;0.800;20;1.000;1007697.000;1007075;1008325;378.516;35.000;7;0.594;0.840;0.668;99.610
EAS;1.000;10.000;0.800;50;1.000;1008029.000;1007609;1009391;768.030;70.000;7;0.659;0.654;0.658;99.643
AC;1.000;10.000;0.800;50;1.000;1007960.000;1007696;1009336;666.743;67.000;7;0.645;0.670;0.653;99.636
EAS;1.000;10.000;0.300;20;0.500;1007726.000;1007058;1007980;384.244;53.000;7;0.599;0.745;0.643;99.613
EAS;1.000;5.000;0.800;100;0.500;1007827.000;1007306;1008081;278.076;66.000;7;0.619;0.676;0.636;99.623
AC;1.000;10.000;0.500;20;1.000;1007701.000;1006625;1008074;520.145;59.000;7;0.595;0.713;0.630;99.611
EAS;1.000;10.000;0.300;50;1.000;1008122.000;1007658;1009218;550.201;100.000;7;0.677;0.495;0.623;99.652
EAS;1.000;5.000;0.800;100;1.000;1007856.000;1006240;1008936;796.349;83.000;7;0.625;0.585;0.613;99.626
EAS;0.750;10.000;0.800;50;1.000;1007262.000;1006488;1007920;439.046;38.000;7;0.508;0.824;0.603;99.567
EAS;0.750;10.000;0.800;100;0.200;1007090.000;1006977;1007327;145.883;27.000;7;0.474;0.883;0.597;99.550
AC;1.000;5.000;0.800;100;1.000;1007873.000;1007712;1008031;116.167;96.000;7;0.628;0.516;0.595;99.628
EAS;0.750;10.000;0.500;50;1.000;1007037.000;1006571;1007115;211.708;25.000;7;0.464;0.894;0.593;99.545
EAS;1.000;5.000;0.500;50;1.000;1007529.000;1006932;1007994;402.671;70.000;7;0.561;0.654;0.589;99.594
