mode;alpha;beta;evaporation;group_size;elite_weight;best_value;best_iteration
AC;0.25;2.0;0.3;20;1.0;1004865;19
AC;0.25;2.0;0.3;20;1.0;1004761;21
AC;0.25;2.0;0.3;20;1.0;1004912;40
AC;0.25;2.0;0.3;20;1.0;1005395;54
AC;0.25;2.0;0.3;20;1.0;1004841;47
AC;0.25;2.0;0.3;20;1.0;1005030;69
AC;0.25;2.0;0.3;20;1.0;1005003;90
AC;0.25;2.0;0.3;50;1.0;1005501;73
AC;0.25;2.0;0.3;50;1.0;1004995;13
AC;0.25;2.0;0.3;50;1.0;1005244;19
AC;0.25;2.0;0.3;50;1.0;1005122;27
AC;0.25;2.0;0.3;50;1.0;1005390;18
AC;0.25;2.0;0.3;50;1.0;1005312;34
AC;0.25;2.0;0.3;50;1.0;1005020;68
AC;0.25;2.0;0.5;20;1.0;1004984;30
AC;0.25;2.0;0.3;100;1.0;1005237;1
AC;0.25;2.0;0.3;100;1.0;1005033;25
AC;0.25;2.0;0.3;100;1.0;1005418;78
AC;0.25;2.0;0.5;20;1.0;1004511;27
AC;0.25;2.0;0.3;100;1.0;1005391;34
AC;0.25;2.0;0.3;100;1.0;1005101;37
AC;0.25;2.0;0.5;20;1.0;1004571;4
AC;0.25;2.0;0.5;20;1.0;1004979;143
AC;0.25;2.0;0.3;100;1.0;1005315;65
AC;0.25;2.0;0.3;100;1.0;1005071;49
AC;0.25;2.0;0.5;20;1.0;1005069;49
AC;0.25;2.0;0.5;20;1.0;1005112;18
AC;0.25;2.0;0.5;20;1.0;1005222;70
AC;0.25;2.0;0.5;50;1.0;1005157;11
AC;0.25;2.0;0.5;50;1.0;1005215;11
AC;0.25;2.0;0.5;50;1.0;1005157;18
AC;0.25;2.0;0.5;50;1.0;1005100;1
AC;0.25;2.0;0.5;50;1.0;1004985;45
AC;0.25;2.0;0.5;50;1.0;1005110;22
AC;0.25;2.0;0.5;50;1.0;1005081;57
AC;0.25;2.0;0.8;20;1.0;1004438;2
AC;0.25;2.0;0.5;100;1.0;1005185;3
AC;0.25;2.0;0.5;100;1.0;1005399;9
AC;0.25;2.0;0.8;20;1.0;1004655;29
AC;0.25;2.0;0.5;100;1.0;1005314;9
AC;0.25;2.0;0.8;20;1.0;1005121;43
AC;0.25;2.0;0.5;100;1.0;1005244;27
AC;0.25;2.0;0.8;20;1.0;1004747;15
AC;0.25;2.0;0.5;100;1.0;1005386;31
AC;0.25;2.0;0.5;100;1.0;1005142;77
AC;0.25;2.0;0.8;20;1.0;1005580;48
AC;0.25;2.0;0.5;100;1.0;1005445;87
AC;0.25;2.0;0.8;20;1.0;1005281;53
AC;0.25;2.0;0.8;20;1.0;1005045;121
AC;0.25;2.0;0.8;50;1.0;1005249;59
AC;0.25;2.0;0.8;50;1.0;1004760;56
AC;0.25;2.0;0.8;50;1.0;1005371;26
AC;0.25;2.0;0.8;50;1.0;1005281;21
AC;0.25;2.0;0.8;50;1.0;1004774;74
AC;0.25;2.0;0.8;50;1.0;1005060;28
AC;0.25;2.0;0.8;50;1.0;1005404;113
AC;0.25;2.0;0.8;100;1.0;1005650;8
AC;0.25;5.0;0.3;20;1.0;1005351;22
AC;0.25;2.0;0.8;100;1.0;1005745;1
AC;0.25;2.0;0.8;100;1.0;1005159;6
AC;0.25;2.0;0.8;100;1.0;1005168;29
AC;0.25;5.0;0.3;20;1.0;1005439;88
AC;0.25;5.0;0.3;20;1.0;1005267;40
AC;0.25;5.0;0.3;20;1.0;1005654;41
AC;0.25;5.0;0.3;20;1.0;1005477;41
AC;0.25;5.0;0.3;20;1.0;1005448;91
AC;0.25;2.0;0.8;100;1.0;1005201;76
AC;0.25;5.0;0.3;20;1.0;1006015;172
AC;0.25;2.0;0.8;100;1.0;1004955;75
AC;0.25;2.0;0.8;100;1.0;1005329;69
AC;0.25;5.0;0.3;50;1.0;1005908;40
AC;0.25;5.0;0.3;50;1.0;1006028;31
AC;0.25;5.0;0.3;50;1.0;1005404;1
AC;0.25;5.0;0.3;50;1.0;1005702;71
AC;0.25;5.0;0.3;50;1.0;1005823;28
AC;0.25;5.0;0.3;50;1.0;1005745;85
AC;0.25;5.0;0.3;50;1.0;1005825;71
AC;0.25;5.0;0.3;100;1.0;1006066;11
AC;0.25;5.0;0.5;20;1.0;1005591;19
AC;0.25;5.0;0.3;100;1.0;1006115;12
AC;0.25;5.0;0.5;20;1.0;1005255;60
AC;0.25;5.0;0.3;100;1.0;1005704;15
AC;0.25;5.0;0.3;100;1.0;1005852;28
AC;0.25;5.0;0.5;20;1.0;1005711;34
AC;0.25;5.0;0.5;20;1.0;1005935;19
AC;0.25;5.0;0.3;100;1.0;1006400;55
AC;0.25;5.0;0.5;20;1.0;1005484;21
AC;0.25;5.0;0.3;100;1.0;1005811;34
AC;0.25;5.0;0.5;20;1.0;1005261;16
AC;0.25;5.0;0.5;20;1.0;1005660;88
AC;0.25;5.0;0.5;50;1.0;1005625;14
AC;0.25;5.0;0.5;50;1.0;1005499;18
AC;0.25;5.0;0.5;50;1.0;1005727;31
AC;0.25;5.0;0.5;50;1.0;1005997;45
AC;0.25;5.0;0.5;50;1.0;1005682;56
AC;0.25;5.0;0.5;50;1.0;1005479;31
AC;0.25;5.0;0.5;50;1.0;1005687;50
AC;0.25;5.0;0.3;100;1.0;1005898;148
AC;0.25;5.0;0.8;20;1.0;1005922;5
AC;0.25;5.0;0.5;100;1.0;1005865;14
AC;0.25;5.0;0.5;100;1.0;1005750;27
AC;0.25;5.0;0.5;100;1.0;1005749;54
AC;0.25;5.0;0.8;20;1.0;1006009;57
AC;0.25;5.0;0.5;100;1.0;1005842;58
AC;0.25;5.0;0.5;100;1.0;1005785;52
AC;0.25;5.0;0.8;20;1.0;1005938;59
AC;0.25;5.0;0.5;100;1.0;1006230;64
AC;0.25;5.0;0.8;20;1.0;1006279;119
AC;0.25;5.0;0.5;100;1.0;1005641;116
AC;0.25;5.0;0.8;20;1.0;1005809;22
AC;0.25;5.0;0.8;20;1.0;1005396;41
AC;0.25;5.0;0.8;20;1.0;1005286;21
AC;0.25;5.0;0.8;50;1.0;1005733;3
AC;0.25;5.0;0.8;50;1.0;1005474;25
AC;0.25;5.0;0.8;50;1.0;1005782;56
AC;0.25;5.0;0.8;50;1.0;1005609;21
AC;0.25;5.0;0.8;50;1.0;1005664;56
AC;0.25;5.0;0.8;50;1.0;1005822;115
AC;0.25;5.0;0.8;50;1.0;1005709;86
AC;0.25;5.0;0.8;100;1.0;1005894;8
AC;0.25;10.0;0.3;20;1.0;1006342;112
AC;0.25;5.0;0.8;100;1.0;1005675;36
AC;0.25;5.0;0.8;100;1.0;1005715;86
AC;0.25;5.0;0.8;100;1.0;1005892;20
AC;0.25;10.0;0.3;20;1.0;1005898;20
AC;0.25;5.0;0.8;100;1.0;1005703;15
AC;0.25;10.0;0.3;20;1.0;1006211;61
AC;0.25;10.0;0.3;20;1.0;1006026;116
AC;0.25;10.0;0.3;20;1.0;1005989;47
AC;0.25;10.0;0.3;20;1.0;1006381;15
AC;0.25;10.0;0.3;20;1.0;1006109;37
AC;0.25;5.0;0.8;100;1.0;1005864;118
AC;0.25;10.0;0.3;50;1.0;1006243;8
AC;0.25;5.0;0.8;100;1.0;1006047;149
AC;0.25;10.0;0.3;50;1.0;1006254;28
AC;0.25;10.0;0.3;50;1.0;1006130;19
AC;0.25;10.0;0.3;50;1.0;1006445;80
AC;0.25;10.0;0.3;50;1.0;1006023;72
AC;0.25;10.0;0.3;50;1.0;1006508;81
AC;0.25;10.0;0.3;50;1.0;1006615;178
AC;0.25;10.0;0.3;100;1.0;1006873;9
AC;0.25;10.0;0.3;100;1.0;1006017;7
AC;0.25;10.0;0.5;20;1.0;1006191;3
AC;0.25;10.0;0.5;20;1.0;1006781;30
AC;0.25;10.0;0.5;20;1.0;1006085;18
AC;0.25;10.0;0.3;100;1.0;1006484;21
AC;0.25;10.0;0.5;20;1.0;1005960;25
AC;0.25;10.0;0.3;100;1.0;1006572;36
AC;0.25;10.0;0.3;100;1.0;1006398;45
AC;0.25;10.0;0.5;20;1.0;1006277;106
AC;0.25;10.0;0.5;20;1.0;1005772;31
AC;0.25;10.0;0.5;20;1.0;1006407;2
AC;0.25;10.0;0.3;100;1.0;1006422;60
AC;0.25;10.0;0.3;100;1.0;1006495;66
AC;0.25;10.0;0.5;50;1.0;1005890;9
AC;0.25;10.0;0.5;50;1.0;1006288;28
AC;0.25;10.0;0.5;50;1.0;1006356;23
AC;0.25;10.0;0.5;50;1.0;1006492;28
AC;0.25;10.0;0.5;50;1.0;1006419;46
AC;0.25;10.0;0.5;50;1.0;1006269;108
AC;0.25;10.0;0.5;50;1.0;1006783;60
AC;0.25;10.0;0.8;20;1.0;1006373;65
AC;0.25;10.0;0.5;100;1.0;1006516;26
AC;0.25;10.0;0.5;100;1.0;1006476;68
AC;0.25;10.0;0.8;20;1.0;1006544;61
AC;0.25;10.0;0.5;100;1.0;1006589;15
AC;0.25;10.0;0.5;100;1.0;1006462;78
AC;0.25;10.0;0.8;20;1.0;1006316;41
AC;0.25;10.0;0.8;20;1.0;1005689;11
AC;0.25;10.0;0.8;20;1.0;1006546;3
AC;0.25;10.0;0.8;20;1.0;1007331;29
AC;0.25;10.0;0.5;100;1.0;1006872;92
AC;0.25;10.0;0.5;100;1.0;1006398;73
AC;0.25;10.0;0.5;100;1.0;1006823;110
AC;0.25;10.0;0.8;20;1.0;1006752;169
AC;0.25;10.0;0.8;50;1.0;1006208;26
AC;0.25;10.0;0.8;50;1.0;1006471;73
AC;0.25;10.0;0.8;50;1.0;1006006;23
AC;0.25;10.0;0.8;50;1.0;1006109;27
AC;0.25;10.0;0.8;50;1.0;1006194;80
AC;0.25;10.0;0.8;50;1.0;1006428;113
AC;0.25;10.0;0.8;50;1.0;1006255;73
AC;0.25;10.0;0.8;100;1.0;1006172;5
AC;0.25;10.0;0.8;100;1.0;1006263;13
AC;0.5;2.0;0.3;20;1.0;1004714;42
AC;0.5;2.0;0.3;20;1.0;1004913;56
AC;0.5;2.0;0.3;20;1.0;1004986;3
AC;0.25;10.0;0.8;100;1.0;1006163;25
AC;0.25;10.0;0.8;100;1.0;1006586;12
AC;0.5;2.0;0.3;20;1.0;1005278;46
AC;0.5;2.0;0.3;20;1.0;1005465;79
AC;0.5;2.0;0.3;20;1.0;1005484;65
AC;0.25;10.0;0.8;100;1.0;1006459;36
AC;0.25;10.0;0.8;100;1.0;1006525;53
AC;0.25;10.0;0.8;100;1.0;1006452;59
AC;0.5;2.0;0.3;20;1.0;1004993;60
AC;0.5;2.0;0.3;50;1.0;1005166;29
AC;0.5;2.0;0.3;50;1.0;1005068;2
AC;0.5;2.0;0.3;50;1.0;1005050;39
AC;0.5;2.0;0.3;50;1.0;1005532;41
AC;0.5;2.0;0.3;50;1.0;1004968;39
AC;0.5;2.0;0.3;50;1.0;1004912;21
AC;0.5;2.0;0.3;50;1.0;1005094;68
AC;0.5;2.0;0.5;20;1.0;1005356;79
AC;0.5;2.0;0.3;100;1.0;1005457;18
AC;0.5;2.0;0.3;100;1.0;1005360;25
AC;0.5;2.0;0.3;100;1.0;1005089;63
AC;0.5;2.0;0.3;100;1.0;1005359;17
AC;0.5;2.0;0.3;100;1.0;1005250;39
AC;0.5;2.0;0.5;20;1.0;1004978;27
AC;0.5;2.0;0.3;100;1.0;1005274;54
AC;0.5;2.0;0.5;20;1.0;1005035;114
AC;0.5;2.0;0.5;20;1.0;1004939;18
AC;0.5;2.0;0.5;20;1.0;1005044;19
AC;0.5;2.0;0.5;20;1.0;1005129;94
AC;0.5;2.0;0.5;20;1.0;1004616;13
AC;0.5;2.0;0.5;50;1.0;1004865;5
AC;0.5;2.0;0.5;50;1.0;1005218;18
AC;0.5;2.0;0.5;50;1.0;1005033;3
AC;0.5;2.0;0.5;50;1.0;1005066;44
AC;0.5;2.0;0.3;100;1.0;1005327;160
AC;0.5;2.0;0.5;50;1.0;1005073;50
AC;0.5;2.0;0.5;50;1.0;1005115;97
AC;0.5;2.0;0.5;50;1.0;1005326;83
AC;0.5;2.0;0.5;100;1.0;1005243;19
AC;0.5;2.0;0.5;100;1.0;1004919;37
AC;0.5;2.0;0.8;20;1.0;1005131;123
AC;0.5;2.0;0.5;100;1.0;1005043;61
AC;0.5;2.0;0.5;100;1.0;1005247;18
AC;0.5;2.0;0.8;20;1.0;1005115;104
AC;0.5;2.0;0.8;20;1.0;1004860;53
AC;0.5;2.0;0.8;20;1.0;1004991;66
AC;0.5;2.0;0.8;20;1.0;1004806;130
AC;0.5;2.0;0.8;20;1.0;1004917;81
AC;0.5;2.0;0.8;20;1.0;1004903;19
AC;0.5;2.0;0.5;100;1.0;1005221;87
AC;0.5;2.0;0.5;100;1.0;1005443;84
AC;0.5;2.0;0.5;100;1.0;1005601;157
AC;0.5;2.0;0.8;50;1.0;1004849;35
AC;0.5;2.0;0.8;50;1.0;1004857;1
AC;0.5;2.0;0.8;50;1.0;1005175;38
AC;0.5;2.0;0.8;50;1.0;1005110;54
AC;0.5;2.0;0.8;50;1.0;1005369;29
AC;0.5;2.0;0.8;50;1.0;1005426;67
AC;0.5;2.0;0.8;50;1.0;1005373;173
AC;0.5;5.0;0.3;20;1.0;1005369;16
AC;0.5;2.0;0.8;100;1.0;1005188;16
AC;0.5;2.0;0.8;100;1.0;1005492;32
AC;0.5;2.0;0.8;100;1.0;1005050;23
AC;0.5;2.0;0.8;100;1.0;1005423;95
AC;0.5;5.0;0.3;20;1.0;1005179;25
AC;0.5;5.0;0.3;20;1.0;1005422;32
AC;0.5;5.0;0.3;20;1.0;1005771;73
AC;0.5;2.0;0.8;100;1.0;1005497;80
AC;0.5;2.0;0.8;100;1.0;1005380;113
AC;0.5;5.0;0.3;20;1.0;1005854;130
AC;0.5;5.0;0.3;20;1.0;1005908;42
AC;0.5;5.0;0.3;20;1.0;1005789;94
AC;0.5;2.0;0.8;100;1.0;1005551;84
AC;0.5;5.0;0.3;50;1.0;1005464;16
AC;0.5;5.0;0.3;50;1.0;1005827;14
AC;0.5;5.0;0.3;50;1.0;1005469;11
AC;0.5;5.0;0.3;50;1.0;1005760;40
AC;0.5;5.0;0.3;50;1.0;1005922;100
AC;0.5;5.0;0.3;50;1.0;1006089;68
AC;0.5;5.0;0.3;50;1.0;1005371;104
AC;0.5;5.0;0.3;100;1.0;1005703;11
AC;0.5;5.0;0.5;20;1.0;1005745;27
AC;0.5;5.0;0.3;100;1.0;1006074;49
AC;0.5;5.0;0.5;20;1.0;1005450;6
AC;0.5;5.0;0.3;100;1.0;1005593;40
AC;0.5;5.0;0.3;100;1.0;1005740;34
AC;0.5;5.0;0.5;20;1.0;1005041;28
AC;0.5;5.0;0.3;100;1.0;1006024;32
AC;0.5;5.0;0.5;20;1.0;1005210;37
AC;0.5;5.0;0.5;20;1.0;1005546;40
AC;0.5;5.0;0.3;100;1.0;1006002;33
AC;0.5;5.0;0.5;20;1.0;1005627;115
AC;0.5;5.0;0.5;20;1.0;1005506;13
AC;0.5;5.0;0.3;100;1.0;1005783;77
AC;0.5;5.0;0.5;50;1.0;1005824;35
AC;0.5;5.0;0.5;50;1.0;1006148;30
AC;0.5;5.0;0.5;50;1.0;1005720;69
AC;0.5;5.0;0.5;50;1.0;1005971;99
AC;0.5;5.0;0.5;50;1.0;1005591;81
AC;0.5;5.0;0.5;50;1.0;1005653;49
AC;0.5;5.0;0.5;50;1.0;1006014;104
AC;0.5;5.0;0.5;100;1.0;1006129;31
AC;0.5;5.0;0.8;20;1.0;1006481;63
AC;0.5;5.0;0.8;20;1.0;1006116;33
AC;0.5;5.0;0.5;100;1.0;1005532;20
AC;0.5;5.0;0.8;20;1.0;1006271;114
AC;0.5;5.0;0.5;100;1.0;1005954;33
AC;0.5;5.0;0.5;100;1.0;1006176;45
AC;0.5;5.0;0.8;20;1.0;1005717;22
AC;0.5;5.0;0.8;20;1.0;1005936;48
AC;0.5;5.0;0.5;100;1.0;1005845;103
AC;0.5;5.0;0.5;100;1.0;1005915;79
AC;0.5;5.0;0.8;20;1.0;1006271;112
AC;0.5;5.0;0.8;20;1.0;1006233;97
AC;0.5;5.0;0.8;50;1.0;1005786;59
AC;0.5;5.0;0.8;50;1.0;1005812;20
AC;0.5;5.0;0.8;50;1.0;1005515;20
AC;0.5;5.0;0.5;100;1.0;1005976;172
AC;0.5;5.0;0.8;50;1.0;1005899;66
AC;0.5;5.0;0.8;50;1.0;1005894;61
AC;0.5;5.0;0.8;50;1.0;1005719;151
AC;0.5;5.0;0.8;50;1.0;1006370;200
AC;0.5;5.0;0.8;100;1.0;1006112;20
AC;0.5;5.0;0.8;100;1.0;1005752;16
AC;0.5;10.0;0.3;20;1.0;1006230;89
AC;0.5;5.0;0.8;100;1.0;1005759;16
AC;0.5;10.0;0.3;20;1.0;1005919;5
AC;0.5;10.0;0.3;20;1.0;1006282;5
AC;0.5;5.0;0.8;100;1.0;1005626;58
AC;0.5;5.0;0.8;100;1.0;1005816;5
AC;0.5;10.0;0.3;20;1.0;1006054;12
AC;0.5;10.0;0.3;20;1.0;1006040;27
AC;0.5;5.0;0.8;100;1.0;1005781;105
AC;0.5;10.0;0.3;20;1.0;1006256;80
AC;0.5;10.0;0.3;20;1.0;1006506;171
AC;0.5;5.0;0.8;100;1.0;1005963;119
AC;0.5;10.0;0.3;50;1.0;1006219;18
AC;0.5;10.0;0.3;50;1.0;1006708;34
AC;0.5;10.0;0.3;50;1.0;1006497;26
AC;0.5;10.0;0.3;50;1.0;1006114;37
AC;0.5;10.0;0.3;50;1.0;1006543;75
AC;0.5;10.0;0.3;50;1.0;1005921;85
AC;0.5;10.0;0.3;50;1.0;1006927;124
AC;0.5;10.0;0.3;100;1.0;1006397;37
AC;0.5;10.0;0.3;100;1.0;1006297;47
AC;0.5;10.0;0.3;100;1.0;1006260;9
AC;0.5;10.0;0.5;20;1.0;1006663;200
AC;0.5;10.0;0.3;100;1.0;1006833;48
AC;0.5;10.0;0.3;100;1.0;1006343;7
AC;0.5;10.0;0.5;20;1.0;1006504;7
AC;0.5;10.0;0.5;20;1.0;1006358;36
AC;0.5;10.0;0.3;100;1.0;1006152;20
AC;0.5;10.0;0.5;20;1.0;1006183;58
AC;0.5;10.0;0.5;20;1.0;1006707;57
AC;0.5;10.0;0.3;100;1.0;1006442;71
AC;0.5;10.0;0.5;20;1.0;1006362;104
AC;0.5;10.0;0.5;20;1.0;1006335;175
AC;0.5;10.0;0.5;50;1.0;1006834;31
AC;0.5;10.0;0.5;50;1.0;1006409;46
AC;0.5;10.0;0.5;50;1.0;1006346;54
AC;0.5;10.0;0.5;50;1.0;1006757;23
AC;0.5;10.0;0.5;50;1.0;1006578;63
AC;0.5;10.0;0.5;50;1.0;1006342;71
AC;0.5;10.0;0.5;50;1.0;1006333;90
AC;0.5;10.0;0.5;100;1.0;1006478;10
AC;0.5;10.0;0.5;100;1.0;1006432;14
AC;0.5;10.0;0.5;100;1.0;1006862;46
AC;0.5;10.0;0.5;100;1.0;1006486;38
AC;0.5;10.0;0.8;20;1.0;1006675;87
AC;0.5;10.0;0.8;20;1.0;1006403;79
AC;0.5;10.0;0.5;100;1.0;1006163;32
AC;0.5;10.0;0.8;20;1.0;1006753;81
AC;0.5;10.0;0.5;100;1.0;1006306;16
AC;0.5;10.0;0.5;100;1.0;1006430;66
AC;0.5;10.0;0.8;20;1.0;1006806;186
AC;0.5;10.0;0.8;20;1.0;1006584;133
AC;0.5;10.0;0.8;20;1.0;1007313;143
AC;0.5;10.0;0.8;20;1.0;1006595;90
AC;0.5;10.0;0.8;50;1.0;1006508;55
AC;0.5;10.0;0.8;50;1.0;1006697;92
AC;0.5;10.0;0.8;50;1.0;1006668;65
AC;0.5;10.0;0.8;50;1.0;1006451;114
AC;0.5;10.0;0.8;50;1.0;1006661;70
AC;0.5;10.0;0.8;50;1.0;1006834;152
AC;0.5;10.0;0.8;100;1.0;1006431;42
AC;0.5;10.0;0.8;50;1.0;1007109;167
AC;0.5;10.0;0.8;100;1.0;1006732;2
AC;0.75;2.0;0.3;20;1.0;1004837;8
AC;0.75;2.0;0.3;20;1.0;1005288;57
AC;0.5;10.0;0.8;100;1.0;1006598;25
AC;0.5;10.0;0.8;100;1.0;1006711;20
AC;0.75;2.0;0.3;20;1.0;1005069;121
AC;0.5;10.0;0.8;100;1.0;1006769;60
AC;0.75;2.0;0.3;20;1.0;1005600;19
AC;0.5;10.0;0.8;100;1.0;1006712;88
AC;0.75;2.0;0.3;20;1.0;1005452;114
AC;0.75;2.0;0.3;20;1.0;1005418;13
AC;0.75;2.0;0.3;20;1.0;1005283;20
AC;0.75;2.0;0.3;50;1.0;1005337;7
