versuchsreihe;alpha;beta;evaporation;group_size;median_value;median_iteration;std_value;min_value;max_value
1;1.000;1.000;0.100;50;1004694.500;24.500;260.854;1004295;1005221
1;2.000;1.000;0.100;80;1004528.500;9.000;465.616;1003932;1005290
1;1.000;1.000;0.500;80;1004640.000;28.500;181.306;1004379;1005030
1;1.000;1.000;0.300;50;1004689.500;43.000;280.914;1004282;1005021
1;1.000;1.000;0.500;50;1004674.000;44.500;215.725;1004317;1005050
1;1.000;1.000;0.300;20;1004589.500;34.500;243.973;1004065;1004802
1;1.000;1.000;0.300;80;1004604.500;38.000;70.139;1004478;1004714
1;2.000;2.000;0.500;80;1004555.000;31.500;227.758;1004223;1005005
1;1.000;1.000;0.100;80;1004677.500;49.000;269.986;1004466;1005319
1;1.000;1.000;0.500;20;1004692.000;56.500;238.615;1004518;1005313
1;2.000;1.000;0.100;50;1004403.500;16.000;312.821;1003768;1004677
1;2.000;1.000;0.300;50;1004230.000;4.500;489.436;1003876;1005607
1;2.000;1.000;0.100;20;1004314.500;22.000;426.853;1003737;1004951
1;2.000;2.000;0.100;20;1004284.500;23.500;163.656;1004060;1004594
1;2.000;1.000;0.500;80;1004146.500;6.500;323.629;1003843;1004827
1;2.000;1.000;0.500;50;1004280.000;27.000;627.592;1003603;1005395
1;2.000;1.000;0.300;80;1004111.000;3.500;312.712;1003836;1004841
1;2.000;2.000;0.500;50;1004558.000;67.000;314.232;1004280;1005322
1;2.000;2.000;0.100;80;1004451.500;54.000;160.034;1004335;1004767
1;1.000;1.000;0.100;20;1004450.000;54.500;195.235;1004071;1004702
1;2.000;1.000;0.500;20;1004262.000;30.000;395.814;1003682;1004957
1;2.000;2.000;0.500;20;1004391.000;51.000;194.504;1004054;1004604
1;4.000;4.000;0.500;50;1004165.000;21.500;284.591;1003616;1004503
1;2.000;2.000;0.300;80;1004585.500;84.000;149.980;1004350;1004918
1;2.000;1.000;0.300;20;1004022.500;12.000;282.802;1003370;1004410
1;2.000;2.000;0.300;50;1004390.000;67.000;170.687;1004271;1004718
1;4.000;2.000;0.100;20;1003931.000;7.000;442.551;1003425;1004869
1;2.000;2.000;0.300;20;1004442.000;81.500;281.705;1003972;1005032
1;4.000;2.000;0.100;50;1003876.500;2.500;232.213;1003490;1004385
1;4.000;4.000;0.500;80;1004012.500;28.000;253.316;1003699;1004500
1;4.000;2.000;0.100;80;1003827.000;2.500;323.193;1003535;1004464
1;4.000;2.000;0.300;80;1003823.500;2.500;271.560;1003522;1004361
1;1.000;2.000;0.100;80;1003985.500;27.500;104.317;1003897;1004213
1;4.000;2.000;0.500;50;1003787.500;2.500;261.069;1003339;1004214
1;4.000;2.000;0.300;20;1003833.500;10.500;501.867;1002941;1004895
1;4.000;1.000;0.100;20;1003771.500;2.500;683.709;1002441;1004628
1;1.000;2.000;0.500;80;1004145.500;55.500;120.215;1003924;1004304
1;1.000;2.000;0.100;50;1004030.500;39.500;141.908;1003833;1004207
1;4.000;4.000;0.500;20;1004101.500;50.000;434.902;1003392;1004969
1;2.000;2.000;0.100;50;1004374.500;91.000;137.290;1004240;1004737
1;1.000;2.000;0.300;50;1003914.500;26.000;66.106;1003866;1004080
1;4.000;2.000;0.500;80;1003744.500;2.500;310.717;1003463;1004518
1;4.000;4.000;0.300;20;1004057.500;48.000;163.552;1003799;1004180
1;2.000;4.000;0.300;50;1003836.000;18.000;143.919;1003561;1003877
1;2.000;4.000;0.500;50;1003857.000;21.000;126.102;1003561;1003928
1;4.000;4.000;0.300;80;1003921.500;32.500;172.546;1003857;1004371
