mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score
EAS;2.000;1.000;0.500;30;1.000;127.000;123;127;1.949;3.000;5;1.000;1.000;1.000
EAS;2.000;1.000;0.500;10;1.000;125.000;124;127;1.517;6.000;5;0.944;0.930;0.940
AC;2.000;1.000;0.100;30;0.800;125.000;123;127;1.789;6.000;5;0.944;0.930;0.940
EAS;2.000;1.000;0.300;30;0.200;125.000;124;127;1.517;6.000;5;0.944;0.930;0.940
EAS;2.000;1.000;0.500;30;0.200;124.000;124;127;1.304;4.000;5;0.917;0.977;0.935
EAS;2.000;1.000;0.100;20;0.200;125.000;124;125;0.548;7.000;5;0.944;0.907;0.933
EAS;2.000;1.000;0.300;20;0.500;124.000;123;125;0.837;5.000;5;0.917;0.953;0.928
EAS;2.000;1.000;0.500;30;0.500;124.000;124;127;1.342;5.000;5;0.917;0.953;0.928
EAS;2.000;1.000;0.500;20;0.500;124.000;123;127;1.517;5.000;5;0.917;0.953;0.928
EAS;2.000;1.000;0.100;30;1.000;124.000;124;125;0.548;5.000;5;0.917;0.953;0.928
AC;2.000;1.000;0.300;20;0.800;124.000;122;124;0.894;5.000;5;0.917;0.953;0.928
AC;2.000;1.000;0.500;30;0.800;124.000;124;127;1.414;5.000;5;0.917;0.953;0.928
AC;1.500;1.000;0.500;30;0.800;124.000;123;124;0.447;6.000;5;0.917;0.930;0.921
EAS;2.000;1.000;0.500;20;0.200;124.000;123;127;1.517;6.000;5;0.917;0.930;0.921
EAS;2.000;1.000;0.500;20;1.000;124.000;124;127;1.304;6.000;5;0.917;0.930;0.921
EAS;2.000;1.000;0.300;20;1.000;124.000;124;127;1.304;6.000;5;0.917;0.930;0.921
EAS;1.500;1.000;0.300;30;0.500;124.000;121;124;1.414;6.000;5;0.917;0.930;0.921
EAS;2.000;1.000;0.300;30;0.500;124.000;124;127;1.342;6.000;5;0.917;0.930;0.921
EAS;1.500;1.000;0.500;20;0.500;124.000;122;124;0.894;7.000;5;0.917;0.907;0.914
AC;2.000;1.000;0.500;10;0.800;124.000;121;124;1.414;7.000;5;0.917;0.907;0.914
EAS;2.000;1.000;0.300;30;1.000;124.000;124;127;1.643;7.000;5;0.917;0.907;0.914
EAS;2.000;1.000;0.500;10;0.500;124.000;124;127;1.342;8.000;5;0.917;0.884;0.907
AC;2.000;1.000;0.100;20;0.800;124.000;124;127;1.643;8.000;5;0.917;0.884;0.907
AC;1.500;1.000;0.500;20;0.800;124.000;123;124;0.447;8.000;5;0.917;0.884;0.907
AC;2.000;1.000;0.300;30;0.800;124.000;124;127;1.342;8.000;5;0.917;0.884;0.907
EAS;2.000;1.000;0.100;20;0.500;124.000;123;124;0.447;8.000;5;0.917;0.884;0.907
EAS;2.000;1.000;0.100;20;1.000;124.000;124;125;0.447;9.000;5;0.917;0.860;0.900
AC;2.000;1.000;0.500;20;0.800;124.000;123;125;0.707;9.000;5;0.917;0.860;0.900
EAS;1.500;1.000;0.300;20;0.500;124.000;122;124;0.894;10.000;5;0.917;0.837;0.893
AC;2.000;1.000;0.300;10;0.800;124.000;124;127;1.342;10.000;5;0.917;0.837;0.893
EAS;2.000;1.000;0.100;10;0.500;124.000;122;127;1.817;10.000;5;0.917;0.837;0.893
AC;1.500;1.000;0.300;30;0.800;124.000;124;124;0.000;10.000;5;0.917;0.837;0.893
