mode;alpha;beta;evaporation;group_size;elite_weight;best_value;best_iteration
AC;1.0;1.0;0.1;10;0.8;114;13
AC;1.0;1.0;0.1;10;0.8;114;42
AC;1.0;1.0;0.1;10;0.8;119;45
AC;1.0;1.0;0.1;10;0.8;118;20
AC;1.0;1.0;0.1;10;0.8;116;29
AC;1.0;1.0;0.1;20;0.8;120;15
AC;1.0;1.0;0.1;20;0.8;119;20
AC;1.0;1.0;0.1;20;0.8;118;26
AC;1.0;1.0;0.1;20;0.8;121;22
AC;1.0;1.0;0.1;20;0.8;120;21
AC;1.0;1.0;0.1;30;0.8;121;36
AC;1.0;1.0;0.1;30;0.8;121;21
AC;1.0;1.0;0.1;30;0.8;120;36
AC;1.0;1.0;0.1;30;0.8;118;8
AC;1.0;1.0;0.1;30;0.8;118;45
AC;1.0;1.0;0.3;10;0.8;118;36
AC;1.0;1.0;0.3;10;0.8;116;27
AC;1.0;1.0;0.3;10;0.8;122;7
AC;1.0;1.0;0.3;10;0.8;120;25
AC;1.0;1.0;0.3;10;0.8;120;11
AC;1.0;1.0;0.3;20;0.8;118;14
AC;1.0;1.0;0.3;20;0.8;118;38
AC;1.0;1.0;0.3;20;0.8;122;49
AC;1.0;1.0;0.3;20;0.8;118;9
AC;1.0;1.0;0.3;20;0.8;118;15
AC;1.0;1.0;0.3;30;0.8;117;18
AC;1.0;1.0;0.3;30;0.8;121;26
AC;1.0;1.0;0.3;30;0.8;121;17
AC;1.0;1.0;0.3;30;0.8;123;12
AC;1.0;1.0;0.3;30;0.8;123;30
AC;1.0;1.0;0.5;10;0.8;118;43
AC;1.0;1.0;0.5;10;0.8;121;43
AC;1.0;1.0;0.5;10;0.8;121;8
AC;1.0;1.0;0.5;10;0.8;121;12
AC;1.0;1.0;0.5;10;0.8;118;32
AC;1.0;1.0;0.5;20;0.8;124;34
AC;1.0;1.0;0.5;20;0.8;117;30
AC;1.0;1.0;0.5;20;0.8;121;42
AC;1.0;1.0;0.5;20;0.8;122;36
AC;1.0;1.0;0.5;20;0.8;117;45
AC;1.0;1.0;0.5;30;0.8;120;8
AC;1.0;1.0;0.5;30;0.8;118;26
AC;1.0;1.0;0.5;30;0.8;121;37
AC;1.0;1.0;0.5;30;0.8;121;13
AC;1.0;1.0;0.5;30;0.8;118;5
AC;1.0;2.5;0.1;10;0.8;103;42
AC;1.0;2.5;0.1;10;0.8;96;40
AC;1.0;2.5;0.1;10;0.8;104;50
AC;1.0;2.5;0.1;10;0.8;105;44
AC;1.0;2.5;0.1;10;0.8;100;38
AC;1.0;2.5;0.1;20;0.8;104;36
AC;1.0;2.5;0.1;20;0.8;99;43
AC;1.0;2.5;0.1;20;0.8;101;45
AC;1.0;2.5;0.1;20;0.8;104;20
AC;1.0;2.5;0.1;20;0.8;103;36
AC;1.0;2.5;0.1;30;0.8;102;40
AC;1.0;2.5;0.1;30;0.8;99;25
AC;1.0;2.5;0.1;30;0.8;104;13
AC;1.0;2.5;0.1;30;0.8;99;45
AC;1.0;2.5;0.1;30;0.8;99;43
AC;1.0;2.5;0.3;10;0.8;107;33
AC;1.0;2.5;0.3;10;0.8;98;30
AC;1.0;2.5;0.3;10;0.8;105;13
AC;1.0;2.5;0.3;10;0.8;104;42
AC;1.0;2.5;0.3;10;0.8;96;50
AC;1.0;2.5;0.3;20;0.8;97;20
AC;1.0;2.5;0.3;20;0.8;97;7
AC;1.0;2.5;0.3;20;0.8;105;21
AC;1.0;2.5;0.3;20;0.8;102;33
AC;1.0;2.5;0.3;20;0.8;107;18
AC;1.0;2.5;0.3;30;0.8;105;25
AC;1.0;2.5;0.3;30;0.8;100;44
AC;1.0;2.5;0.3;30;0.8;101;23
AC;1.0;2.5;0.3;30;0.8;105;49
AC;1.0;2.5;0.3;30;0.8;104;14
AC;1.0;2.5;0.5;10;0.8;104;22
AC;1.0;2.5;0.5;10;0.8;105;40
AC;1.0;2.5;0.5;10;0.8;109;17
AC;1.0;2.5;0.5;10;0.8;103;10
AC;1.0;2.5;0.5;10;0.8;105;26
AC;1.0;2.5;0.5;20;0.8;104;19
AC;1.0;2.5;0.5;20;0.8;101;12
AC;1.0;2.5;0.5;20;0.8;107;26
AC;1.0;2.5;0.5;20;0.8;100;34
AC;1.0;2.5;0.5;20;0.8;104;39
AC;1.0;2.5;0.5;30;0.8;105;29
AC;1.0;2.5;0.5;30;0.8;99;6
AC;1.0;2.5;0.5;30;0.8;104;49
AC;1.0;2.5;0.5;30;0.8;99;7
AC;1.0;2.5;0.5;30;0.8;105;4
AC;1.0;4.0;0.1;10;0.8;91;21
AC;1.0;4.0;0.1;10;0.8;91;15
AC;1.0;4.0;0.1;10;0.8;91;29
AC;1.0;4.0;0.1;10;0.8;91;10
AC;1.0;4.0;0.1;10;0.8;91;20
AC;1.0;4.0;0.1;20;0.8;91;5
AC;1.0;4.0;0.1;20;0.8;91;7
AC;1.0;4.0;0.1;20;0.8;91;9
AC;1.0;4.0;0.1;20;0.8;91;11
AC;1.0;4.0;0.1;20;0.8;91;8
AC;1.0;4.0;0.1;30;0.8;91;1
AC;1.0;4.0;0.1;30;0.8;94;8
AC;1.0;4.0;0.1;30;0.8;91;4
AC;1.0;4.0;0.1;30;0.8;91;4
AC;1.0;4.0;0.1;30;0.8;91;6
AC;1.0;4.0;0.3;10;0.8;91;17
AC;1.0;4.0;0.3;10;0.8;91;11
AC;1.0;4.0;0.3;10;0.8;91;13
AC;1.0;4.0;0.3;10;0.8;91;22
AC;1.0;4.0;0.3;10;0.8;94;37
AC;1.0;4.0;0.3;20;0.8;94;15
AC;1.0;4.0;0.3;20;0.8;97;31
AC;1.0;4.0;0.3;20;0.8;91;5
AC;1.0;4.0;0.3;20;0.8;91;4
AC;1.0;4.0;0.3;20;0.8;91;5
AC;1.0;4.0;0.3;30;0.8;94;21
AC;1.0;4.0;0.3;30;0.8;91;3
AC;1.0;4.0;0.3;30;0.8;91;3
AC;1.0;4.0;0.3;30;0.8;91;11
AC;1.0;4.0;0.3;30;0.8;91;3
AC;1.0;4.0;0.5;10;0.8;93;43
AC;1.0;4.0;0.5;10;0.8;91;8
AC;1.0;4.0;0.5;10;0.8;95;20
AC;1.0;4.0;0.5;10;0.8;94;22
AC;1.0;4.0;0.5;10;0.8;91;5
AC;1.0;4.0;0.5;20;0.8;95;32
AC;1.0;4.0;0.5;20;0.8;91;5
AC;1.0;4.0;0.5;20;0.8;91;3
AC;1.0;4.0;0.5;20;0.8;91;10
AC;1.0;4.0;0.5;20;0.8;95;10
AC;1.0;4.0;0.5;30;0.8;95;10
AC;1.0;4.0;0.5;30;0.8;95;7
AC;1.0;4.0;0.5;30;0.8;91;4
AC;1.0;4.0;0.5;30;0.8;95;5
AC;1.0;4.0;0.5;30;0.8;94;23
AC;1.5;1.0;0.1;10;0.8;123;20
AC;1.5;1.0;0.1;10;0.8;124;40
AC;1.5;1.0;0.1;10;0.8;123;18
AC;1.5;1.0;0.1;10;0.8;122;21
AC;1.5;1.0;0.1;10;0.8;121;33
AC;1.5;1.0;0.1;20;0.8;124;26
AC;1.5;1.0;0.1;20;0.8;123;9
AC;1.5;1.0;0.1;20;0.8;124;44
AC;1.5;1.0;0.1;20;0.8;124;11
AC;1.5;1.0;0.1;20;0.8;122;26
AC;1.5;1.0;0.1;30;0.8;124;30
AC;1.5;1.0;0.1;30;0.8;124;35
AC;1.5;1.0;0.1;30;0.8;124;13
AC;1.5;1.0;0.1;30;0.8;124;33
AC;1.5;1.0;0.1;30;0.8;124;20
AC;1.5;1.0;0.3;10;0.8;122;24
AC;1.5;1.0;0.3;10;0.8;122;15
AC;1.5;1.0;0.3;10;0.8;124;13
AC;1.5;1.0;0.3;10;0.8;123;8
AC;1.5;1.0;0.3;10;0.8;121;49
AC;1.5;1.0;0.3;20;0.8;122;26
AC;1.5;1.0;0.3;20;0.8;124;9
AC;1.5;1.0;0.3;20;0.8;124;20
AC;1.5;1.0;0.3;20;0.8;124;12
AC;1.5;1.0;0.3;20;0.8;124;12
AC;1.5;1.0;0.3;30;0.8;124;4
AC;1.5;1.0;0.3;30;0.8;124;14
AC;1.5;1.0;0.3;30;0.8;124;10
AC;1.5;1.0;0.3;30;0.8;124;23
AC;1.5;1.0;0.3;30;0.8;124;10
AC;1.5;1.0;0.5;10;0.8;120;11
AC;1.5;1.0;0.5;10;0.8;124;9
AC;1.5;1.0;0.5;10;0.8;122;6
